COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
00000125;1;CALLE;;A;A;01/01/1977;26/02/1993;H
00000127;1;CALLE;DE;ISABEL COLBRAND;ISABEL COLBRAND;31/10/1985;;V
00000127;2;CALLE;;A;A;30/10/1985;31/10/1985;V
00000130;2;CALLE;DE;ELIAS TORMO;ELÍAS TORMO;27/12/1985;01/01/2004;H
00000130;1;CALLE;;A;A;01/01/1973;27/12/1985;H
00000150;2;CALLE;DE;GONZALEZ DAVILA;GONZÁLEZ DÁVILA;27/12/1985;;V
00000200;1;CALLE;DE LA;ABADA;ABADA;11/01/1835;;V
00000300;1;CALLE;DE LOS;ABADES;ABADES;11/01/1835;;V
00000400;1;CALLE;DE LA;ABADESA;ABADESA;01/01/1975;;V
00000500;1;CALLE;DE LA;ABADIA;ABADÍA;01/01/1932;14/10/1953;H
00000600;1;CALLE;DE;ABALOS;ÁBALOS;31/05/1961;;V
00000700;1;CALLE;DEL;ABANICO;ABANICO;09/03/1962;;V
00000701;1;PUENTE;;PASO ELEVADO DE ENRIQUE DE LA MATA GOROSTIZAGA;PASO ELEVADO DE ENRIQUE DE LA MATA GOROSTIZAGA;30/06/1988;;V
00000702;1;AVENIDA;DE LA;FUENTE DE LA MORA;FUENTE DE LA MORA;30/09/1988;;V
00000703;1;CALLE;DE;FEDERICO MORENO TORROBA;FEDERICO MORENO TORROBA;30/09/1988;;V
00000704;1;PLAZA;DE;ANDRES SEGOVIA;ANDRÉS SEGOVIA;28/10/1988;;V
00000705;1;CALLE;DEL;CONCEJAL BENITO MARTIN LOZANO;CONCEJAL BENITO MARTÍN LOZANO;28/10/1988;;V
00000706;1;PASAJE;DEL;OLIVINO;OLIVINO;30/11/1988;;V
00000707;1;CALLE;DE LAS;PLANTAS;PLANTAS;30/11/1988;;V
00000708;1;CALLE;DE LAS;HIERBAS;HIERBAS;30/11/1988;;V
00000709;1;CALLE;DEL;ANIS;ANÍS;30/11/1988;;V
00000710;1;CALLE;DEL;EBANO;ÉBANO;30/11/1988;;V
00000711;1;CALLE;DEL;ALCORNOQUE;ALCORNOQUE;30/11/1988;;V
00000712;1;CALLE;DEL;PALOSANTO;PALOSANTO;30/11/1988;;V
00000713;1;CALLE;DEL;MORTERO;MORTERO;30/11/1988;;V
00000714;1;CALLE;DEL;AUTILLO;AUTILLO;30/11/1988;;V
00000715;1;RONDA;DE LAS;FLORES;FLORES;30/11/1988;;V
00000716;1;CALLE;DE;FRANCISCO GIRALTE;FRANCISCO GIRALTE;22/12/1988;;V
00000717;2;CALLE;DEL;CARDENAL MARCELO SPINOLA;CARDENAL MARCELO SPÍNOLA;27/11/1992;;V
00000717;1;CALLE;DE;JOSE BARDASANO BAOS;JOSÉ BARDASANO BAOS;30/09/1991;27/11/1992;V
00000718;1;CALLE;DE;JOSEP PLA;JOSEP PLA;22/12/1988;;V
00000720;1;CALLE;DE;FOBOS;FOBOS;01/07/1988;;V
00000721;1;CALLE;DE;OBERON;OBERÓN;30/05/1989;;V
00000722;1;CALLE;DE;NICOLAS MARIA URGOITI;NICOLÁS MARÍA URGOITI;30/05/1989;;V
00000723;1;CALLE;DEL;HELECHO;HELECHO;30/05/1989;;V
00000724;1;CALLE;DE;LA ESTRADA;LA ESTRADA;30/05/1989;;V
00000725;1;PASEO;DEL;ZURRON;ZURRÓN;30/05/1989;;V
00000726;1;CALLE;DEL;MURO;MURO;30/05/1989;;V
00000727;1;CALLE;DE;CALDERON;CALDERÓN;30/05/1989;;V
00000728;1;AVENIDA;DE LA;GRAN VIA DE HORTALEZA;GRAN VÍA DE HORTALEZA;30/05/1989;;V
00000729;1;CALLE;DE;PEDRO MORENO;PEDRO MORENO;30/05/1989;;V
